"","id","week","followers","MLShare","ntracksotherpl","feature"
"1",1,1,78046,0.309921449050307,3953,1
"2",1,2,78628,0.290080987964757,3947,0
"3",1,3,78510,0.288797534350306,3799,0
"4",1,4,78486,0.33678533770144,3898,1
"5",1,5,78081,0.314978072536178,3651,0
"6",1,6,77119,0.347384371235967,3720,0
"7",1,7,76206,0.390746681438759,3609,1
"8",1,8,75258,0.376275178510696,3359,0
"9",1,9,75081,0.337007014243864,3363,1
"10",1,10,74756,0.355769435316324,3581,0
"11",1,11,74119,0.314683748804964,3790,1
"12",1,12,73292,0.340504835708998,3906,0
"13",1,13,72432,0.388045244151726,3761,0
"14",1,14,72781,0.401005814853124,3551,0
"15",1,15,73313,0.377802348323166,3500,1
"16",1,16,73956,0.404658137960359,3721,0
"17",1,17,73184,0.422349256975576,3931,0
"18",1,18,73315,0.460636854078621,4130,1
"19",1,19,72806,0.414207889372483,4093,0
"20",1,20,72542,0.4425007060403,4080,1
"21",1,21,72031,0.46557542795781,4015,0
"22",1,22,71175,0.437660628231242,4087,1
"23",1,23,71751,0.402399053541012,4304,0
"24",1,24,71609,0.412984804995358,4424,0
"25",1,25,71820,0.427920600143261,4537,0
"26",1,26,71679,0.472592030721717,4487,1
"27",1,27,71924,0.43888162879739,4620,1
"28",1,28,72658,0.395254870108329,4561,0
"29",1,29,72932,0.420945533295162,4791,1
"30",1,30,73524,0.371326647768728,4733,0
"31",1,31,73785,0.341884655691683,4742,1
"32",1,32,74578,0.383040134143084,4985,1
"33",1,33,74090,0.401984637766145,5000,1
"34",1,34,74431,0.427797428029589,5000,1
"35",1,35,74364,0.416748144524172,4845,1
"36",1,36,73978,0.395176114863716,4900,1
"37",1,37,74129,0.354963912093081,4775,0
"38",1,38,73132,0.373266385099851,4811,0
"39",1,39,74042,0.352395803108811,4801,1
"40",1,40,75034,0.305779916746542,4984,0
"41",1,41,74755,0.351712878141552,5000,1
"42",1,42,74361,0.37367172180675,4999,1
"43",1,43,74794,0.402329571824521,5000,1
"44",1,44,74076,0.39582841489464,4796,0
"45",1,45,73756,0.398775757849216,4716,0
"46",1,46,74404,0.440692795929499,4553,1
"47",1,47,73988,0.404649741970934,4333,1
"48",1,48,74961,0.410176506289281,4384,0
"49",1,49,74649,0.425274009304121,4349,0
"50",1,50,74269,0.462608220032416,4491,0
"51",2,1,2638,0.284132538130507,3675,0
"52",2,2,2987,0.323961141821928,3468,0
"53",2,3,2810,0.331404568511061,3549,0
"54",2,4,3252,0.297380632115528,3333,0
"55",2,5,2419,0.292670564283617,3486,0
"56",2,6,2036,0.310530974925496,3255,0
"57",2,7,1824,0.290760555746965,3176,1
"58",2,8,1763,0.310374636063352,3307,1
"59",2,9,1574,0.312816627859138,3298,1
"60",2,10,953,0.333949647541158,3367,1
"61",2,11,413,0.347664485033602,3170,1
"62",2,12,1,0.356165449670516,3123,0
"63",2,13,965,0.364021998154931,3202,1
"64",2,14,182,0.379209583275951,3316,1
"65",2,15,170,0.366382118244655,3379,1
"66",2,16,153,0.394236110313796,3336,1
"67",2,17,1,0.39186103856191,3407,0
"68",2,18,1,0.431017879559658,3462,1
"69",2,19,411,0.443849495006725,3453,1
"70",2,20,320,0.40538340152707,3628,0
"71",2,21,261,0.378881692327559,3877,1
"72",2,22,1051,0.358342506061308,3756,1
"73",2,23,869,0.399292250955477,3623,0
"74",2,24,1203,0.36619492827449,3495,1
"75",2,25,1141,0.395918984920718,3645,1
"76",2,26,1841,0.35958904386498,3709,0
"77",2,27,2500,0.403378844703548,3552,0
"78",2,28,3329,0.379730300675146,3392,0
"79",2,29,3686,0.35954684659373,3235,1
"80",2,30,3392,0.334828277304769,3220,0
"81",2,31,4274,0.364930726541206,3200,0
"82",2,32,4904,0.362024606741033,3299,1
"83",2,33,4907,0.393821617728099,3156,0
"84",2,34,5205,0.348597499169409,3043,0
"85",2,35,5681,0.32486328673549,3168,1
"86",2,36,5033,0.327755184285343,3347,1
"87",2,37,5735,0.298836789559573,3504,0
"88",2,38,5006,0.323539449903183,3283,1
"89",2,39,4900,0.306614940217696,3379,1
"90",2,40,4527,0.274954870552756,3417,1
"91",2,41,4273,0.316600383655168,3321,1
"92",2,42,4609,0.280829102522694,3208,0
"93",2,43,4980,0.234798574703746,3016,1
"94",2,44,5936,0.240261968085542,3086,0
"95",2,45,5254,0.241266889008693,3222,0
"96",2,46,4589,0.21843188686762,3373,1
"97",2,47,4277,0.178217278677039,3462,1
"98",2,48,3683,0.201172380521893,3393,1
"99",2,49,4163,0.224709333432838,3339,0
"100",2,50,4298,0.192182040354237,3150,1
"101",3,1,68280,0.769456415437162,1155,1
"102",3,2,69179,0.76484411181882,1396,0
"103",3,3,69489,0.721823241142556,1585,0
"104",3,4,69708,0.672918759426102,1610,0
"105",3,5,69067,0.691575313499197,1711,1
"106",3,6,69478,0.721416184981354,1819,0
"107",3,7,69623,0.74020270453766,2067,0
"108",3,8,70287,0.78972331052646,2106,0
"109",3,9,70447,0.782927938038483,2008,1
"110",3,10,70876,0.766062330361456,2231,0
"111",3,11,70667,0.760916700656526,2124,1
"112",3,12,71004,0.797898035030812,2275,0
"113",3,13,71837,0.81124444140587,2414,1
"114",3,14,72741,0.83773763612844,2403,0
"115",3,15,73632,0.867742168577388,2498,1
"116",3,16,73352,0.860270361509174,2529,0
"117",3,17,72472,0.894905056431889,2415,1
"118",3,18,73006,0.928928730334155,2552,1
"119",3,19,73664,0.94505854032468,2376,1
"120",3,20,73609,0.977740631694905,2144,0
"121",3,21,73954,1,1906,1
"122",3,22,73567,0.990898958803154,1917,0
"123",3,23,73113,0.996728530991822,2085,0
"124",3,24,72371,1,1914,1
"125",3,25,73115,1,2033,0
"126",3,26,73188,0.952815666748211,2234,1
"127",3,27,74068,0.994710944918916,2006,0
"128",3,28,74795,0.986391191324219,1835,0
"129",3,29,75321,0.949918345059268,1863,0
"130",3,30,75271,0.900044508697465,1719,0
"131",3,31,75691,0.86390780757647,1765,0
"132",3,32,76156,0.893478129035793,1585,0
"133",3,33,76152,0.918925318215042,1446,0
"134",3,34,76928,0.954281231784262,1606,1
"135",3,35,77077,1,1429,0
"136",3,36,76683,0.981967097707093,1469,1
"137",3,37,75731,0.956103981565684,1627,0
"138",3,38,75959,0.971217502490617,1804,0
"139",3,39,76623,0.928980354499072,1717,1
"140",3,40,77214,0.909091342566535,1789,0
"141",3,41,77211,0.885796288331039,1874,0
"142",3,42,77212,0.84378371948842,1979,0
"143",3,43,77407,0.874810658651404,1927,0
"144",3,44,77222,0.867676825914532,1901,0
"145",3,45,77569,0.870325273834169,2085,0
"146",3,46,77504,0.833422252698801,2263,1
"147",3,47,77643,0.855781222740188,2229,0
"148",3,48,77726,0.817152761621401,1998,1
"149",3,49,78545,0.831316296383738,2032,0
"150",3,50,77875,0.835771416174248,2142,1
"151",4,1,70917,0.14248519577086,598,0
"152",4,2,71429,0.0979208724573254,360,0
"153",4,3,71692,0.111129063973203,122,1
"154",4,4,71160,0.145037752995267,165,1
"155",4,5,70891,0.0982254480477422,61,1
"156",4,6,71682,0.104383777547628,1,0
